id;facebook;whatsapp;linkedin;twitter
1;Interface Sports Dollar;bus Maurice;best-of-breed;Franche-Comté
2;Borders;Zloty Mauritanie RSS;Kids cross-media;value-added HTTP global
3;Toys payment;invoice Islands utilisation;HTTP quantifying Exclusive;1080p Ingenieur up
4;B2C Intelligent program;Computer Oberkampf Faubourg-Saint-Denis;sticky de content;quantifying Autriche
5;Peso Rubber Account;object-oriented;24/365;e-commerce withdrawal Berkshire
6;engineer Shirt workforce;functionalities Saint-Denis;a Avon;Lev
7;a Licensed FTP;architecture a;interface b;revolutionize Account
8;grid-enabled;optical Customer-focused Bedfordshire;Tugrik;relationships
9;generation Saudi instruction;Hat Guatemala;collaboration sensor;interface Auvergne orange
10;Haute-Normandie extensible;supply-chains bus;eyeballs Rustic Auto;du AGP
